date,ndx_spot,"('high',_'^ndx')","('low',_'^ndx')","('open',_'^ndx')","('volume',_'^ndx')"
15-07-2024,20386.88086,20585.16992,20304.5293,20401.01953,5450350000
16-07-2024,20398.61914,20477,20266.50977,20441.5293,5812930000
17-07-2024,19799.14063,20080.26953,19793.75,20041.31055,6007280000
18-07-2024,19705.08984,19947.98047,19575.78906,19936.24023,5977260000
19-07-2024,19522.61914,19784.48047,19479.38086,19687.80078,4992930000
22-07-2024,19822.86914,19861.7207,19638.36914,19751.01953,5093620000
23-07-2024,19754.33984,19904.59961,19736.2207,19783.33008,4938000000
24-07-2024,19032.39063,19482.55078,19005.4707,19475.66016,6735560000
25-07-2024,18830.58008,19227.19922,18721.71094,19041.15039,6114350000
26-07-2024,19023.66016,19142.67969,18899.31055,18990.19922,5281560000
29-07-2024,19059.49023,19224.58984,18974.50977,19122.42969,4897230000
30-07-2024,18796.26953,19165.41992,18667.2207,19129.56055,5564310000
31-07-2024,19362.42969,19426.61914,19162.91016,19222.84961,6292560000
01-08-2024,18890.39063,19538.9707,18737.08984,19375.9707,6664550000
02-08-2024,18440.84961,18628.7793,18263.5,18494.24023,6313870000
05-08-2024,17895.16016,18169.49023,17435.39063,17444.40039,6852190000
06-08-2024,18077.91992,18368.67969,17858.82031,17961.44922,5908930000
07-08-2024,17867.36914,18445.75,17851.08008,18345.44922,5913620000
08-08-2024,18413.82031,18445.41016,17965.07031,18102.05078,5815880000
09-08-2024,18513.09961,18567.63086,18313.7793,18373.89063,5783410000
12-08-2024,18542.0293,18665.75,18433.60938,18548.23047,4890850000
13-08-2024,19006.42969,19013.00977,18723.74023,18724.83984,5469160000
14-08-2024,19022.67969,19103,18837.09961,19043.75977,4985480000
15-08-2024,19490.15039,19502.91992,19239.93945,19251.85938,5478170000
16-08-2024,19508.51953,19561.24023,19376.7207,19393.73047,5138150000
19-08-2024,19766.49023,19767.42969,19445.09961,19521.92969,5564300000
20-08-2024,19719.82031,19835.38086,19652.17969,19736.34961,5305260000
21-08-2024,19824.83984,19885.33984,19690.64063,19758.4707,4765150000
22-08-2024,19491.83984,19938.89063,19459.85938,19911.2793,5065360000
23-08-2024,19720.86914,19818.40039,19526.63086,19669.7793,5380810000
26-08-2024,19516.43945,19726.90039,19437.33984,19679.24023,5110940000
27-08-2024,19581.51953,19617.91992,19369.5293,19450.57031,4362380000
