date,gspc_spot,"('high',_'^gspc')","('low',_'^gspc')","('open',_'^gspc')","('volume',_'^gspc')"
15-07-2024,5631.220215,5666.939941,5614.75,5638.160156,3620470000
16-07-2024,5667.200195,5669.669922,5639.02002,5644.089844,4041760000
17-07-2024,5588.27002,5622.490234,5584.810059,5610.069824,4246450000
18-07-2024,5544.589844,5614.049805,5522.810059,5608.560059,4007510000
19-07-2024,5505,5557.5,5497.040039,5543.370117,3760570000
22-07-2024,5564.410156,5570.359863,5529.040039,5544.540039,3375180000
23-07-2024,5555.740234,5585.339844,5550.899902,5565.299805,3500210000
24-07-2024,5427.129883,5508.040039,5419.97998,5505.839844,3945550000
25-07-2024,5399.220215,5491.589844,5390.950195,5428.700195,4592120000
26-07-2024,5459.100098,5488.319824,5430.700195,5433.669922,3638770000
29-07-2024,5463.540039,5487.740234,5444.439941,5476.549805,3379970000
30-07-2024,5436.439941,5489.459961,5401.700195,5478.72998,3777740000
31-07-2024,5522.299805,5551.509766,5493.75,5505.589844,4546910000
01-08-2024,5446.680176,5566.160156,5410.419922,5537.839844,4703620000
02-08-2024,5346.560059,5383.890137,5302.029785,5376.629883,5156450000
05-08-2024,5186.330078,5250.890137,5119.259766,5151.140137,5333250000
06-08-2024,5240.029785,5312.339844,5193.560059,5206.419922,4690190000
07-08-2024,5199.5,5330.640137,5195.540039,5293.129883,4558260000
08-08-2024,5319.310059,5328.029785,5233.850098,5252.569824,4016830000
09-08-2024,5344.160156,5358.669922,5300.839844,5314.660156,3516400000
12-08-2024,5344.390137,5371.200195,5324.370117,5351.879883,3360160000
13-08-2024,5434.430176,5436.5,5376.97998,5376.97998,3648980000
14-08-2024,5455.209961,5463.220215,5415.910156,5442.359863,3380050000
15-08-2024,5543.220215,5546.22998,5501.129883,5501.129883,3723310000
16-08-2024,5554.25,5561.97998,5525.169922,5530.5,3357690000
19-08-2024,5608.25,5608.299805,5550.740234,5557.22998,3222050000
20-08-2024,5597.120117,5620.509766,5585.5,5602.879883,2994420000
21-08-2024,5620.850098,5632.680176,5591.569824,5603.089844,3119670000
22-08-2024,5570.640137,5643.220215,5560.950195,5637.77002,2981530000
23-08-2024,5634.609863,5641.819824,5585.160156,5602.490234,3291940000
26-08-2024,5616.839844,5651.620117,5602.339844,5639.660156,2938570000
27-08-2024,5625.799805,5631.180176,5593.47998,5602.890137,2798990000
28-08-2024,5592.180176,5627.029785,5560.950195,5624.509766,3053450000
29-08-2024,5591.959961,5646.950195,5583.709961,5607.299805,3065640000
30-08-2024,5648.399902,5651.370117,5581.790039,5612.740234,4185850000
03-09-2024,5528.930176,5623.890137,5504.330078,5623.890137,3866350000
04-09-2024,5520.069824,5552.990234,5503.660156,5506.680176,3478140000
05-09-2024,5503.410156,5546.299805,5480.540039,5520.080078,3521650000
06-09-2024,5408.419922,5522.470215,5402.620117,5507.330078,3822800000
09-09-2024,5471.049805,5484.200195,5434.490234,5442.069824,3825940000
10-09-2024,5495.52002,5497.910156,5441.720215,5490.509766,3848180000
11-09-2024,5554.129883,5560.410156,5406.959961,5496.419922,3839450000
12-09-2024,5595.759766,5600.709961,5535.5,5557.47998,3655070000
13-09-2024,5626.02002,5636.27002,5601.649902,5603.339844,3500790000
16-09-2024,5633.089844,5636.049805,5604.529785,5615.209961,3437070000
17-09-2024,5634.580078,5670.810059,5614.049805,5655.509766,3443600000
18-09-2024,5618.259766,5689.75,5615.080078,5641.680176,3691390000
19-09-2024,5713.640137,5733.569824,5686.419922,5702.629883,4024530000
20-09-2024,5702.549805,5715.140137,5674.490234,5709.640137,7867260000
23-09-2024,5718.569824,5725.359863,5704.220215,5711.899902,3529550000
24-09-2024,5732.930176,5735.319824,5698.990234,5727.660156,3872710000
25-09-2024,5722.259766,5741.029785,5712.060059,5733.649902,3624910000
26-09-2024,5745.370117,5767.370117,5721.009766,5762.220215,4391180000
27-09-2024,5738.169922,5763.779785,5727.339844,5755.359863,3898530000
30-09-2024,5762.47998,5765.140137,5703.529785,5726.52002,4425730000
01-10-2024,5708.75,5757.72998,5681.279785,5757.72998,4025180000
02-10-2024,5709.540039,5719.629883,5674,5698.140137,3829050000
03-10-2024,5699.939941,5718.779785,5677.370117,5698.189941,3597450000
04-10-2024,5751.069824,5753.209961,5702.830078,5737.47998,3479400000
