date,ETH_trends
2024-07-14,57
2024-07-21,65
2024-07-28,53
2024-08-04,72
2024-08-11,49
2024-08-18,47
2024-08-25,47
2024-09-01,48
2024-09-08,43
2024-09-15,45
2024-09-22,47
2024-09-29,42
2024-10-06,41
2024-10-13,42
2024-10-20,41
2024-10-27,48
2024-11-03,67
2024-11-10,100
2024-11-17,85
2024-11-24,80
2024-12-01,98
2024-12-08,84
2024-12-15,82
2024-12-22,58
2024-12-29,55
2025-01-05,59
2025-01-12,63
2025-01-19,73
2025-01-26,59
2025-02-02,82
2025-02-09,55
2025-02-16,61
2025-02-23,70
2025-03-02,68
2025-03-09,65
2025-03-16,53
2025-03-23,48
2025-03-30,50
2025-04-06,66
2025-04-13,46
2025-04-20,51
2025-04-27,45
2025-05-04,64
2025-05-11,66
2025-05-18,61
2025-05-25,55
2025-06-01,54
2025-06-08,60
2025-06-15,55
2025-06-22,53
2025-06-29,48
2025-07-06,62
2025-07-13,100
