,date,name,open,high,low,close,volume,marketCap,daily_weighted_sentiment,comment_volume,BTC_trends,gold_spot,gspc_spot,ndx_spot
364,2024-07-16,2781,64784.4188428292,65354.3382001038,62487.9671099288,65097.1468308443,41617346767.84,1284144530410.43,-0.0923461670271916,59.0,36.0,2462.399902,5667.200195,20398.61914
363,2024-07-17,2781,65091.8307087293,66066.7330274247,63896.0871928785,64118.7926694255,32525071310.74,1264876808968.35,0.0320445862534927,29.0,36.0,2454.800049,5588.27002,19799.14063
362,2024-07-18,2781,64104.7376791449,65104.6614189984,63246.1644386903,63974.0666841082,27239305336.94,1262047185003.48,-0.0009317072518331,24.0,36.0,2451.800049,5544.589844,19705.08984
361,2024-07-19,2781,63972.3254992254,67442.6381157797,63329.3420254858,66710.1543130458,37003855409.78,1316050877556.13,0.0332521687910688,30.0,36.0,2395.5,5505.0,19522.61914
360,2024-07-20,2781,66709.9256150293,67610.7343734082,66299.6183732209,67163.6449237129,19029581249.82,1325061487221.58,0.0,2.0,36.0,2395.5,5505.0,19522.61914
359,2024-07-21,2781,67164.9119218204,68372.9051655897,65842.298799547,68154.522905866,26652190003.57,1344591292880.38,0.0,2.0,37.0,2395.5,5505.0,19522.61914
358,2024-07-22,2781,68152.9761329417,68480.0627910864,66611.2998683859,67585.2499720905,42649109453.15,1333416492641.59,-0.3302374547574578,15.0,37.0,2392.0,5564.410156,19822.86914
357,2024-07-23,2781,67584.8043545273,67779.0175541407,65484.4620810299,65927.6723614031,35605668665.85,1300762573330.26,0.0,18.0,37.0,2404.600098,5555.740234,19754.33984
356,2024-07-24,2781,65927.8580751662,67113.9843132699,65146.9949755547,65372.1332336736,27470942308.81,1289901286822.95,0.0,18.0,37.0,2413.300049,5427.129883,19032.39063
355,2024-07-25,2781,65375.8734846053,66112.4200353199,63473.4732846473,65777.2239400202,38315761669.6,1297746222202.46,-0.0028021816231238,16.0,37.0,2351.899902,5399.220215,18830.58008
354,2024-07-26,2781,65771.8104166052,68207.6000267291,65743.7694349242,67912.06309622,30488630457.22,1340006377389.0,-0.0028021816231238,16.0,37.0,2380.0,5459.100098,19023.66016
353,2024-07-27,2781,67911.8142625278,69398.5113084796,66705.2195764852,67813.3394163313,34691905492.17,1338003104418.14,0.0,8.0,37.0,2380.0,5459.100098,19023.66016
352,2024-07-28,2781,67808.655588481,68301.8541099212,67085.8281866684,68255.8657690205,18043166944.55,1346858598263.74,0.004174914912901,22.0,34.0,2380.0,5459.100098,19023.66016
351,2024-07-29,2781,68259.0549329203,69987.5422080099,66532.5931101119,66819.9161863636,40780682628.04,1318540566549.27,0.033665239738255,44.0,34.0,2377.300049,5463.540039,19059.49023
