,date,name,open,high,low,close,volume,marketCap,daily_weighted_sentiment,comment_volume,ETH_trends,gold_spot,gspc_spot,ndx_spot
364,2024-07-16,2781,3486.1440726541,3498.2190530127,3351.7796827994,3443.5135017873,20446664416.01,413977750802.78,0.0309125930070877,17.0,57.0,2462.399902,5667.200195,20398.61914
363,2024-07-17,2781,3446.7367187773,3516.1042095161,3379.0995251717,3388.7523731072,16739123961.79,407399937896.91,0.0309125930070877,17.0,57.0,2454.800049,5588.27002,19799.14063
362,2024-07-18,2781,3388.0300676492,3488.7156547891,3374.9904298984,3426.2585906447,15035622003.12,411914155211.69,0.0891047949376313,45.0,57.0,2451.800049,5544.589844,19705.08984
361,2024-07-19,2781,3425.9088098776,3540.5883464158,3377.8775749769,3505.7348409679,17705629736.48,421472486025.11,0.016568647097733,33.0,57.0,2395.5,5505.0,19522.61914
360,2024-07-20,2781,3505.7213360654,3539.9042918012,3482.4889083192,3519.2953440842,10360198324.58,423126701294.68,0.0,32.0,57.0,2395.5,5505.0,19522.61914
359,2024-07-21,2781,3519.4265569212,3546.6192375618,3415.4437889975,3536.6054396998,13845913681.14,425202725801.31,0.0,3.0,65.0,2395.5,5505.0,19522.61914
358,2024-07-22,2781,3536.6271724925,3560.0755054452,3425.795746783,3440.419892469,18723199034.02,413677789549.03,0.1707642692372314,43.0,65.0,2392.0,5564.410156,19822.86914
357,2024-07-23,2781,3440.7684203307,3539.5317352124,3395.4208923331,3481.9959539767,24468405649.9,418653262700.26,0.4445701241493225,61.0,65.0,2404.600098,5555.740234,19754.33984
356,2024-07-24,2781,3482.1519592285,3487.6530567973,3304.0392131954,3336.3394237401,16040945448.27,401125218715.64,-0.2765930471264927,33.0,65.0,2413.300049,5427.129883,19032.39063
355,2024-07-25,2781,3336.3623090803,3341.438455905,3088.7644900984,3174.4273153636,25293745810.03,381610809754.16,-0.3018103022101923,53.0,65.0,2351.899902,5399.220215,18830.58008
354,2024-07-26,2781,3174.0510518836,3285.7609302,3172.777172982,3275.9514243808,15993893520.76,393854940397.2,-0.2111452878276004,18.0,65.0,2380.0,5459.100098,19023.66016
353,2024-07-27,2781,3275.8917093114,3327.4264943168,3195.3567382203,3247.6079817268,15198233287.39,390442331336.25,-0.0431877372449614,49.0,65.0,2380.0,5459.100098,19023.66016
352,2024-07-28,2781,3247.5073053514,3283.1521424448,3201.7632936184,3271.4646364709,8959236445.64,393322680889.11,0.0111309649167713,68.0,53.0,2380.0,5459.100098,19023.66016
351,2024-07-29,2781,3271.4534640628,3396.6257551377,3257.7156147045,3320.5392099336,18334852719.12,399234373762.25,0.0502022731871832,32.0,53.0,2377.300049,5463.540039,19059.49023
350,2024-07-30,2781,3320.6351906134,3365.322564389,3235.7599682135,3278.6677928161,14045773046.54,394254431325.22,0.2175070919016356,18.0,53.0,2405.0,5436.439941,18796.26953
349,2024-07-31,2781,3278.6865959865,3347.636589634,3216.0717065546,3231.2957066884,16135380636.88,388556036409.16,0.9354939460754396,1.0,53.0,2426.5,5522.299805,19362.42969
348,2024-08-01,2781,3231.2486664288,3241.7773266787,3078.5438775352,3201.5644469308,20217639555.82,384996532526.49,-0.0027353131323544,78.0,53.0,2435.0,5446.680176,18890.39063
347,2024-08-02,2781,3201.5993832297,3214.5270618206,2965.7339587821,2986.0131528012,21400241740.62,359070017357.43,0.0,2.0,53.0,2425.699951,5346.560059,18440.84961
346,2024-08-03,2781,2985.9508786552,3015.2960515087,2861.1775540643,2903.3857025544,17844091430.83,349111435213.51,-0.253531987738654,41.0,53.0,2425.699951,5346.560059,18440.84961
345,2024-08-04,2781,2903.0886317454,2931.4717513415,2639.5667259006,2686.3988610452,21139601426.46,323015051181.3,-0.2967466966066406,44.0,72.0,2425.699951,5346.560059,18440.84961
344,2024-08-05,2781,2686.0274982721,2695.8866563884,2122.546236037,2417.2061842115,67668132244.38,290699928288.88,-0.0252646948840167,20.0,72.0,2401.699951,5186.330078,17895.16016
343,2024-08-06,2781,2417.2697476943,2553.5810788175,2416.5270085411,2458.7238702336,26041995920.95,295710571803.94,0.0934500400478958,31.0,72.0,2389.100098,5240.029785,18077.91992
342,2024-08-07,2781,2458.9889062336,2551.5606857856,2312.1686925901,2336.5893752638,24264218606.01,281035367280.92,0.1279704056002877,48.0,72.0,2390.5,5199.5,17867.36914
341,2024-08-08,2781,2336.9149691098,2721.9544984356,2322.5294984722,2683.3527980054,23468291179.77,322747478331.43,0.0978821977299062,48.0,72.0,2422.199951,5319.310059,18413.82031
340,2024-08-09,2781,2683.7199975895,2706.4512351189,2555.2295289744,2599.5985844241,17907141655.34,312634093214.01,0.0,16.0,72.0,2432.100098,5344.160156,18513.09961
339,2024-08-10,2781,2599.582241381,2642.9257287795,2580.6619371006,2610.0228477264,9361014219.03,313889029960.15,0.0349256835485759,48.0,72.0,2432.100098,5344.160156,18513.09961
338,2024-08-11,2781,2609.969703158,2718.7977251425,2544.1747723958,2553.252240415,13595441987.08,307103536125.21,0.1366879605251652,50.0,49.0,2432.100098,5344.160156,18513.09961
337,2024-08-12,2781,2553.4966053215,2749.1350088668,2513.3941625541,2724.4318594324,21653090666.23,327652739570.78,-0.0793021289365632,16.0,49.0,2462.399902,5344.390137,18542.0293
336,2024-08-13,2781,2724.3035068548,2737.990371482,2613.8013492687,2703.6718464697,16383053029.1,325166936403.58,-0.0599784976687313,32.0,49.0,2466.699951,5434.430176,19006.42969
335,2024-08-14,2781,2703.5868642656,2775.2809657522,2636.7052340878,2662.914790813,15825365408.17,320277951636.44,-0.1608698756195778,15.0,49.0,2439.399902,5455.209961,19022.67969
334,2024-08-15,2781,2662.8854050633,2675.3144750112,2518.6705500515,2570.0877300656,16345801911.57,309122231394.02,-0.0799139571817297,17.0,49.0,2453.100098,5543.220215,19490.15039
333,2024-08-16,2781,2570.0851197001,2629.3836626679,2553.0714963643,2593.186442814,13275561554.78,311904037570.2,-0.4933338303690992,18.0,49.0,2498.600098,5554.25,19508.51953
332,2024-08-17,2781,2593.1669870287,2626.6729547521,2588.7850898842,2614.5467678717,6676568717.06,314429221530.5,-0.0921590835531166,50.0,49.0,2498.600098,5554.25,19508.51953
331,2024-08-18,2781,2614.1095010624,2684.0311033164,2596.7350013654,2613.3571785326,9207267414.64,314268369391.92,-0.6200707292468948,29.0,47.0,2498.600098,5554.25,19508.51953
330,2024-08-19,2781,2612.7185097561,2648.2844776645,2566.4012223473,2637.3062899278,11968963281.7,317232374214.24,-0.0397711152091939,18.0,47.0,2501.800049,5608.25,19766.49023
329,2024-08-20,2781,2637.3062943876,2695.9136995581,2556.7476402304,2573.1068581158,13249483464.46,309516554435.49,-0.0397711152091939,18.0,47.0,2511.300049,5597.120117,19719.82031
328,2024-08-21,2781,2573.1089739409,2662.953488548,2538.6577920946,2631.3956043099,12766015262.73,316470263993.24,-0.0397711152091939,18.0,47.0,2508.399902,5620.850098,19824.83984
327,2024-08-22,2781,2630.8642496488,2644.8237233332,2587.1106750821,2622.9513546562,10723280428.12,315520205747.53,0.4536297571886876,16.0,47.0,2478.899902,5570.640137,19491.83984
326,2024-08-23,2781,2622.9160716774,2799.3298565315,2622.5810537487,2764.4471033,16857181969.5,332676763518.28,-0.1516771889649904,16.0,47.0,2508.399902,5634.609863,19720.86914
325,2024-08-24,2781,2765.4815671814,2820.0205615881,2737.7766676404,2769.3897324903,11765811306.84,333118290545.8,-0.0299478210508823,20.0,47.0,2508.399902,5634.609863,19720.86914
324,2024-08-25,2781,2769.0982451445,2793.0129853608,2736.0889406765,2749.1576670875,9375535538.7,330719150375.36,0.4186335126910589,18.0,47.0,2508.399902,5634.609863,19720.86914
323,2024-08-26,2781,2749.2475733083,2763.0041773069,2668.8866690067,2681.3405143605,12282035835.37,322596873460.23,-0.0984106603739918,31.0,47.0,2517.699951,5616.839844,19516.43945
322,2024-08-27,2781,2681.6228547795,2700.1527938882,2401.1750014042,2458.7264730716,18028996055.96,295803564692.22,-0.0984106603739918,31.0,47.0,2516.0,5625.799805,19581.51953
321,2024-08-28,2781,2458.9047288803,2553.8201332909,2422.2936310955,2528.415504044,20359545410.33,304158734370.84,0.0,15.0,47.0,2501.0,5592.180176,19350.7793
320,2024-08-29,2781,2528.3623390872,2595.9769498275,2507.5024610214,2528.7927147052,13946434276.5,304202758609.92,0.0,16.0,47.0,2525.699951,5591.959961,19325.44922
319,2024-08-30,2781,2528.7321381206,2539.9151740611,2432.8343661359,2525.8219191284,15526218254.52,303858523925.25,0.0,13.0,47.0,2493.800049,5648.399902,19574.64063
318,2024-08-31,2781,2525.8591403614,2532.389995385,2493.7056314647,2513.3937400971,6646876012.61,302373399429.12,0.0,2.0,47.0,2493.800049,5648.399902,19574.64063
317,2024-09-01,2781,2513.4242867901,2515.4673743873,2401.8891952349,2427.9022806575,11800443264.94,292099196088.96,0.0,3.0,48.0,2493.800049,5648.399902,19574.64063
316,2024-09-02,2781,2427.9733430705,2563.085947551,2426.0958264474,2538.1873755956,12520444223.77,305361719446.47,-0.0786773491825282,31.0,48.0,2493.800049,5648.399902,19574.64063
315,2024-09-03,2781,2538.1605696975,2552.8027059964,2419.8753405981,2420.603643795,11406800196.88,291174415480.53,-0.0824272524226795,18.0,48.0,2489.899902,5528.930176,18958.74023
314,2024-09-04,2781,2420.1923594609,2488.9165297931,2313.2650229482,2448.976963363,16709600746.79,294644654909.23,0.2840609118577858,47.0,48.0,2493.399902,5520.069824,18921.40039
313,2024-09-05,2781,2448.9867379635,2465.3851633709,2348.8632710269,2367.7375740886,13632325040.12,284870243828.82,-0.3984652932484944,16.0,48.0,2511.399902,5503.410156,18930.33008
312,2024-09-06,2781,2367.7010305058,2406.5120446707,2150.8632293618,2223.8765008293,25825618366.79,267576898297.89,-0.3984652932484944,16.0,48.0,2493.5,5408.419922,18421.31055
311,2024-09-07,2781,2223.9292456336,2310.1947491752,2222.1007358362,2274.1070647398,11124608320.4,273658227912.59,-0.0774974858406746,15.0,48.0,2493.5,5408.419922,18421.31055
310,2024-09-08,2781,2274.4376354304,2332.3594061001,2243.9113931825,2297.2928618416,10718443486.76,276486164481.31,-0.0545165839545223,17.0,43.0,2493.5,5408.419922,18421.31055
