,date,name,open,high,low,close,volume,marketCap,daily_weighted_sentiment,comment_volume,XRP_trends,gold_spot,gspc_spot,ndx_spot
364,2024-07-16,2781,0.5377534297,0.59252659,0.5342838145,0.579375743,3380662320.27,32332260021.65,0.0,0.0,25.0,2462.399902,5667.200195,20398.61914
363,2024-07-17,2781,0.5793733848,0.636643537,0.5793733848,0.6264856906,3708255185.76,35026490364.62,-0.0464995787902311,8.0,25.0,2454.800049,5588.27002,19799.14063
362,2024-07-18,2781,0.6265889254,0.6359868718,0.5604321653,0.5695740245,2986711546.65,31844588597.33,-0.0464995787902311,8.0,25.0,2451.800049,5544.589844,19705.08984
361,2024-07-19,2781,0.5696075195,0.586011986,0.5426383527,0.573752339,2340175055.41,32076908610.53,-0.0070045744931256,32.0,25.0,2395.5,5505.0,19522.61914
360,2024-07-20,2781,0.5737293127,0.6037820589,0.5718316961,0.5946514381,1538358690.9,33246723441.72,-0.0070045744931256,32.0,25.0,2395.5,5505.0,19522.61914
359,2024-07-21,2781,0.5946526837,0.607188495,0.5756155629,0.5974669768,1489477304.65,33404772021.67,-0.0070045744931256,32.0,25.0,2395.5,5505.0,19522.61914
358,2024-07-22,2781,0.5974795491,0.6226631438,0.5866674331,0.6076370746,2052124201.46,33972674010.99,-0.14871740556625,18.0,25.0,2392.0,5564.410156,19822.86914
357,2024-07-23,2781,0.6076370746,0.6165763617,0.5842763954,0.5974570509,1657693154.96,33403652748.61,-0.1420147701313621,12.0,25.0,2404.600098,5555.740234,19754.33984
356,2024-07-24,2781,0.5974595297,0.6321554796,0.5925768042,0.618843467,1933084899.09,34599686682.17,-0.1420147701313621,12.0,25.0,2413.300049,5427.129883,19032.39063
355,2024-07-25,2781,0.618851857,0.6238244743,0.586938593,0.5998161707,2306853708.77,33566119190.54,-0.1420147701313621,12.0,25.0,2351.899902,5399.220215,18830.58008
354,2024-07-26,2781,0.599814119,0.6084538275,0.5874593815,0.6040681731,1385845115.73,33804224174.9,-0.1420147701313621,12.0,25.0,2380.0,5459.100098,19023.66016
353,2024-07-27,2781,0.6040689669,0.60887141,0.5867039274,0.5967951042,1007994247.02,33397172497.31,0.0,1.0,25.0,2380.0,5459.100098,19023.66016
352,2024-07-28,2781,0.5967951042,0.6129160165,0.592157457,0.6019465912,916029261.72,33685321446.06,-0.6683398160067472,3.0,24.0,2380.0,5459.100098,19023.66016
351,2024-07-29,2781,0.6019442192,0.6114120884,0.5933008336,0.6020861597,1178431460.99,33693130276.33,0.0633916457494099,11.0,24.0,2377.300049,5463.540039,19059.49023
350,2024-07-30,2781,0.6020837601,0.634965066,0.5961574036,0.6278774507,2197505658.89,35135673613.62,-0.0758875652057368,33.0,24.0,2405.0,5436.439941,18796.26953
349,2024-07-31,2781,0.6278614753,0.6579108403,0.623762101,0.6239389397,2419022402.95,34915910711.96,-0.0758875652057368,33.0,24.0,2426.5,5522.299805,19362.42969
348,2024-08-01,2781,0.6239343936,0.6294333123,0.5718836474,0.5964638842,1990603912.77,33401510419.16,0.0019847705194957,35.0,24.0,2435.0,5446.680176,18890.39063
347,2024-08-02,2781,0.5964631699,0.5964660234,0.5496355881,0.5607705616,1884164485.05,31402794355.85,0.0,8.0,24.0,2425.699951,5346.560059,18440.84961
346,2024-08-03,2781,0.5607713553,0.5765464926,0.5424719269,0.5563914002,1325726392.55,31157434104.42,0.0,3.0,24.0,2425.699951,5346.560059,18440.84961
345,2024-08-04,2781,0.5563898662,0.5583055401,0.5164283817,0.5233964074,1209933394.24,29309788932.99,-0.4372533957163493,8.0,26.0,2425.699951,5346.560059,18440.84961
344,2024-08-05,2781,0.5233957805,0.5252827807,0.4334920341,0.489465843,4193893852.69,27409295015.54,0.0,1.0,26.0,2401.699951,5186.330078,17895.16016
343,2024-08-06,2781,0.4894579552,0.5185025379,0.489296217,0.5056968401,1747524591.64,28318660942.28,0.0,1.0,26.0,2389.100098,5240.029785,18077.91992
342,2024-08-07,2781,0.5056912668,0.6408185744,0.4942300403,0.6008097764,4286385926.07,33647087894.91,0.3725384348317196,3.0,26.0,2390.5,5199.5,17867.36914
341,2024-08-08,2781,0.6008485381,0.6416193806,0.5809080048,0.61757735,3502679662.34,34648939841.35,0.0,5.0,26.0,2422.199951,5319.310059,18413.82031
340,2024-08-09,2781,0.6175801482,0.6237072401,0.5690233823,0.5811532129,2024450472.78,32605102297.68,0.0,13.0,26.0,2432.100098,5344.160156,18513.09961
339,2024-08-10,2781,0.5811509385,0.6013668437,0.5795982408,0.585579424,1134054567.14,32853905689.63,-0.0485929548740386,19.0,26.0,2432.100098,5344.160156,18513.09961
338,2024-08-11,2781,0.5855855919,0.5930767928,0.5475408739,0.5529324544,1202704290.7,31021863580.63,-0.0485929548740386,19.0,22.0,2432.100098,5344.160156,18513.09961
337,2024-08-12,2781,0.5529314084,0.5790693662,0.5521628812,0.568768484,1479740403.04,31915352066.79,0.0547883689195852,23.0,22.0,2462.399902,5344.390137,18542.0293
336,2024-08-13,2781,0.568768484,0.5831127675,0.5638718919,0.5763988516,1245896254.74,32344035695.96,0.4214456649053664,15.0,22.0,2466.699951,5434.430176,19006.42969
335,2024-08-14,2781,0.576408122,0.5818891898,0.5662260057,0.569191857,1138569808.22,31939108829.97,0.0,1.0,22.0,2439.399902,5455.209961,19022.67969
334,2024-08-15,2781,0.5691911376,0.5738734934,0.5524533986,0.5609551288,1163264081.3,31477001959.24,0.0,1.0,22.0,2453.100098,5543.220215,19490.15039
333,2024-08-16,2781,0.5609565781,0.5702693713,0.5548276091,0.5645164108,1021214645.86,31676608962.01,-0.2625609159469604,3.0,22.0,2498.600098,5554.25,19508.51953
332,2024-08-17,2781,0.5645138058,0.5705398891,0.5621272893,0.5663194158,481701398.75,31778172945.18,0.0,3.0,22.0,2498.600098,5554.25,19508.51953
331,2024-08-18,2781,0.5663237934,0.578752102,0.5638562785,0.5638752537,633645481.02,31640690553.26,-0.0041264585826707,11.0,21.0,2498.600098,5554.25,19508.51953
330,2024-08-19,2781,0.5638736982,0.6085092447,0.5623202351,0.5986060906,1592288723.51,33589838098.0,0.0037601023185543,33.0,21.0,2501.800049,5608.25,19766.49023
329,2024-08-20,2781,0.5986097616,0.6145210631,0.5888488553,0.5944277144,1275196278.52,33355129880.23,0.0,12.0,21.0,2511.300049,5597.120117,19719.82031
328,2024-08-21,2781,0.5944269897,0.6053039043,0.5867576618,0.6002754091,1185128570.66,33723594856.16,-0.096519309085804,25.0,21.0,2508.399902,5620.850098,19824.83984
327,2024-08-22,2781,0.6002770485,0.6038655493,0.5938521935,0.5976007787,943673178.78,33573234743.61,-0.0119107393991379,6.0,21.0,2478.899902,5570.640137,19491.83984
326,2024-08-23,2781,0.5976001801,0.6156336592,0.5943216095,0.6112390399,1254262512.28,34339399344.02,-0.5888492266337076,2.0,21.0,2508.399902,5634.609863,19720.86914
325,2024-08-24,2781,0.6112378325,0.6304442886,0.6056346075,0.613110398,1116629036.59,34444557367.12,0.0,16.0,21.0,2508.399902,5634.609863,19720.86914
324,2024-08-25,2781,0.6131096346,0.6137537099,0.5966848367,0.6001835289,871698521.49,33718501284.19,0.0,1.0,20.0,2508.399902,5634.609863,19720.86914
323,2024-08-26,2781,0.6001859099,0.6021874132,0.580407258,0.5874697147,1118813355.95,33003209316.83,0.0,1.0,20.0,2517.699951,5616.839844,19516.43945
322,2024-08-27,2781,0.5874537852,0.5995521829,0.5579547716,0.5675544491,1420370240.38,31884873232.58,0.0,1.0,20.0,2516.0,5625.799805,19581.51953
321,2024-08-28,2781,0.5675475161,0.5842500472,0.5582221471,0.5698499398,1341866722.12,32014174448.73,0.0,1.0,20.0,2501.0,5592.180176,19350.7793
320,2024-08-29,2781,0.5698490647,0.5764103026,0.5592858093,0.5620552427,986899080.91,31616617752.05,0.0,1.0,20.0,2525.699951,5591.959961,19325.44922
319,2024-08-30,2781,0.5620576051,0.5672934142,0.5481975364,0.567030801,1103086707.7,31896112119.67,0.0,1.0,20.0,2493.800049,5648.399902,19574.64063
318,2024-08-31,2781,0.5670262559,0.5717837087,0.5633121975,0.5663133928,463303088.66,31855926577.42,0.0,1.0,20.0,2493.800049,5648.399902,19574.64063
317,2024-09-01,2781,0.5663118661,0.5665749406,0.5448002254,0.5479904299,681339684.17,30825091015.08,0.0,1.0,20.0,2493.800049,5648.399902,19574.64063
316,2024-09-02,2781,0.5479864092,0.5682827719,0.5454615037,0.5675868734,833537275.01,31927694215.38,0.0,1.0,20.0,2493.800049,5648.399902,19574.64063
315,2024-09-03,2781,0.5675876998,0.5720516084,0.5573909796,0.5573909796,814841749.17,31354533686.86,0.0,1.0,20.0,2489.899902,5528.930176,18958.74023
314,2024-09-04,2781,0.5573984621,0.5644976481,0.5398918445,0.5581761379,1106776732.5,31398315469.02,0.0,1.0,20.0,2493.399902,5520.069824,18921.40039
313,2024-09-05,2781,0.5581767833,0.5594364425,0.5413478502,0.5441957403,894618426.59,30611820077.97,0.0,9.0,20.0,2511.399902,5503.410156,18930.33008
312,2024-09-06,2781,0.5441950311,0.5470008983,0.5058957223,0.5213468369,1511246617.99,29367224020.05,-0.0601388343742915,7.0,20.0,2493.5,5408.419922,18421.31055
311,2024-09-07,2781,0.5213482967,0.532716513,0.5200352374,0.5250920184,560729553.24,29578147559.76,-0.0601388343742915,7.0,20.0,2493.5,5408.419922,18421.31055
310,2024-09-08,2781,0.5250927646,0.5310078203,0.5217855117,0.5292905838,509773155.08,29815703245.62,-0.0601388343742915,7.0,22.0,2493.5,5408.419922,18421.31055
